code,name,description,refreshed_at,from_date,to_date
ASX_AP1,"ASX SPI 200 Index Futures, Continuous Contract #1 (AP1) (Front Month)","Historical Futures Prices: ASX SPI 200 Index Futures, Continuous Contract #1. Non-adjusted price based on spot-month continuous contract calculations. Raw data from ASX.",2020-02-20 19:28:08,2013-10-09,2020-02-20
ASX_AP2,"ASX SPI 200 Index Futures, Continuous Contract #2 (AP2)","Historical Futures Prices: ASX SPI 200 Index Futures, Continuous Contract #2. Non-adjusted price based on spot-month continuous contract calculations. Raw data from ASX.",2020-02-20 19:28:08,2013-10-09,2020-02-20
ASX_BB1,"NZ - 90 Day Bank Bill Futures, Continuous Contract #1 (BB1) (Front Month)","Historical Futures Prices: NZ - 90 Day Bank Bill Futures, Continuous Contract #1. Non-adjusted price based on spot-month continuous contract calculations. Raw data from ASX.",2019-12-28 19:26:41,2013-10-09,2019-12-21
ASX_BB2,"NZ - 90 Day Bank Bill Futures, Continuous Contract #2 (BB2)","Historical Futures Prices: NZ - 90 Day Bank Bill Futures, Continuous Contract #2. Non-adjusted price based on spot-month continuous contract calculations. Raw data from ASX.",2019-12-28 19:26:41,2013-10-09,2019-12-21
ASX_IB1,"30 Day Interbank Cash Rate Futures, Continuous Contract #1 (IB1) (Front Month)","Historical Futures Prices: 30 Day Interbank Cash Rate Futures, Continuous Contract #1. Non-adjusted price based on spot-month continuous contract calculations. Raw data from ASX.",2020-02-20 19:28:08,2013-10-09,2020-02-20
ASX_IB2,"30 Day Interbank Cash Rate Futures, Continuous Contract #2 (IB2)","Historical Futures Prices: 30 Day Interbank Cash Rate Futures, Continuous Contract #2. Non-adjusted price based on spot-month continuous contract calculations. Raw data from ASX.",2020-02-20 19:28:08,2013-10-09,2020-02-20
ASX_IR1,"90 Day Bank Accepted Bills Futures, Continuous Contract #1 (IR1) (Front Month)","Historical Futures Prices: 90 Day Bank Accepted Bills Futures, Continuous Contract #1. Non-adjusted price based on spot-month continuous contract calculations. Raw data from ASX.",2020-02-20 19:28:09,2013-10-09,2020-02-20
ASX_IR2,"90 Day Bank Accepted Bills Futures, Continuous Contract #2 (IR2)","Historical Futures Prices: 90 Day Bank Accepted Bills Futures, Continuous Contract #2. Non-adjusted price based on spot-month continuous contract calculations. Raw data from ASX.",2020-02-20 19:28:09,2013-10-09,2020-02-20
ASX_TN1,"NZ - 10 Year Government Stock Futures, Continuous Contract #1 (TN1) (Front Month)","Historical Futures Prices: NZ - 10 Year Government Stock Futures, Continuous Contract #1. Non-adjusted price based on spot-month continuous contract calculations. Raw data from ASX.",2019-10-28 18:26:34,2013-10-09,2019-10-23
ASX_TN2,"NZ - 10 Year Government Stock Futures, Continuous Contract #2 (TN2)","Historical Futures Prices: NZ - 10 Year Government Stock Futures, Continuous Contract #2. Non-adjusted price based on spot-month continuous contract calculations. Raw data from ASX.",2019-10-28 18:26:34,2013-10-09,2019-10-23
ASX_TY1,"NZ - 3 Year Government Stock Futures, Continuous Contract #1 (TY1) (Front Month)","Historical Futures Prices: NZ - 3 Year Government Stock Futures, Continuous Contract #1. Non-adjusted price based on spot-month continuous contract calculations. Raw data from ASX.",2019-10-28 18:26:33,2013-10-09,2019-10-23
ASX_TY2,"NZ - 3 Year Government Stock Futures, Continuous Contract #2 (TY2)","Historical Futures Prices: NZ - 3 Year Government Stock Futures, Continuous Contract #2. Non-adjusted price based on spot-month continuous contract calculations. Raw data from ASX.",2019-10-28 18:26:33,2013-10-09,2019-10-23
ASX_UB1,"Eastern Australia Feed Barley Futures, Continuous Contract #1 (UB1) (Front Month)","Historical Futures Prices: Eastern Australia Feed Barley Futures, Continuous Contract #1. Non-adjusted price based on spot-month continuous contract calculations. Raw data from ASX.",2020-02-20 19:28:07,2013-10-09,2020-02-20
